Ordered By Time In (ms)

Method Name                                                     Calls       Time In   Time In Avg      Time Tot  Time Tot Avg      Calls In  Calls In Avg     Calls Tot Calls Tot Avg
API精灵.AboutForm.Dispose                                             1            92            92            92            92             0             0             0             0
API精灵.Form1.mykeyword                                               1            45            45            45            45           281           281           281           281
API精灵.Form1..ctor                                                   1            22            22           250           250             1             1             1             1
API精灵.Form1.Dispose                                                 1            21            21            21            21             0             0             0             0
API精灵.Form1.search_comp                                             1             4             4             6             6             1             1             1             1
API精灵.AboutForm.button1_Click                                       1             2             2            94            94             1             1             1             1
API精灵.AboutForm..ctor                                               1             2             2             3             3             1             1             1             1
API精灵.AboutForm.InitializeComponent                                 1             1             1             1             1             0             0             0             0
API精灵.AboutForm.AboutForm_Load                                      1             1             1             1             1             0             0             0             0
API精灵.Form1.tiplist_MouseUp                                         2             0             0             0             0             0             0             0             0
API精灵.Form1.e_add_CheckedChanged                                    0             0             0             0             0             0             0             0             0
API精灵.Form1.menuItem1_Click                                         0             0             0             0             0             0             0             0             0
API精灵.Form1.timer1_Tick                                             0             0             0             0             0             0             0             0             0
API精灵.Form1.codememo_TextChanged                                  296             0             0             1             0             0             0             0             0
API精灵.Form1.button2_Click                                           0             0             0             0             0             0             0             0             0
API精灵.Form1.button4_Click                                           1             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.IsFun_dllNull                              0             0             0             0             0             0             0             0             0
API精灵.Form1.e_modify_CheckedChanged                                 0             0             0             0             0             0             0             0             0
API精灵.Form1.mykeyword1                                              0             0             0             0             0             0             0             0             0
API精灵.Form1.isenable                                                0             0             0             0             0             0             0             0             0
API精灵.Form1.select_type_SelectedIndexChanged                        0             0             0             0             0             0             0             0             0
API精灵.Form1.initdatabase                                            0             0             0             0             0             0             0             0             0
API精灵.Form1.tiplist_SelectedIndexChanged                            0             0             0             0             0             0             0             0             0
API精灵.Form1.mysearch_MouseDown                                      1             0             0             0             0             0             0             0             0
API精灵.Form1.fun_update                                              0             0             0             0             0             0             0             0             0
API精灵.Form1.mytips                                                  0             0             0             0             0             0             0             0             0
API精灵.Form1.isnull                                                  0             0             0             0             0             0             0             0             0
API精灵.Form1.mat_text_MouseDown                                      0             0             0             0             0             0             0             0             0
API精灵.Form1.oleDbConnection1_InfoMessage                            0             0             0             0             0             0             0             0             0
API精灵.Form1.memo_update                                             0             0             0             0             0             0             0             0             0
API精灵.Form1.mysplip                                                 0             0             0             0             0             0             0             0             0
API精灵.Form1.Form1_Load                                              0             0             0             0             0             0             0             0             0
API精灵.Form1.tiplist_DoubleClick                                     0             0             0             0             0             0             0             0             0
API精灵.Form1.tiplist_KeyDown                                         0             0             0             0             0             0             0             0             0
API精灵.Form1.tiplist_KeyPress                                        0             0             0             0             0             0             0             0             0
API精灵.Form1.tiplist_MouseLeave                                      1             0             0             0             0             0             0             0             0
API精灵.Form1.mysearch_KeyDown                                        0             0             0             0             0             0             0             0             0
API精灵.Form1.mysearch_TextChanged                                    0             0             0             0             0             0             0             0             0
API精灵.Form1.mydisp                                                  0             0             0             0             0             0             0             0             0
API精灵.Form1.autocomp                                                0             0             0             0             0             0             0             0             0
API精灵.Form1.button1_Click                                           0             0             0             0             0             0             0             0             0
API精灵.Form1.Main                                                    0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRowChangeEvent..ctor                           0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.get_Id                                     0             0             0             0             0             0             0             0             0
